Paper,Year,Problem,Noise Type,Noise Assumption,Model/Classifiers,Dataset,Method,Theory,Empirical Study,Transition Matrix,Loss Correction,Robust Loss,Calibration,Memorisation,Realistic Noise,Main Contribution,Known Limitation,Potential Overlap,Relevance
"Angluin & Laird",1988,"PAC learning with classification noise",Symmetric,"Random independent noise, eta < 1/2",Linear concepts,Synthetic,PAC identification bound,Yes,No,No,No,No,No,No,No,"Pioneered PAC bounds under random classification noise; proved sample complexity inflation of O(1/(1-2eta)^2)",Limited to binary concepts and uniform noise rates,High (Foundational),Essential Foundational
"Kearns",1998,"Statistical Query Model under Noise",Symmetric,"Independent feature/label corruption",SQ algorithms,Synthetic,SQ noise tolerance,Yes,No,No,No,No,No,No,No,"Proved that any concept class learnable in SQ model is learnable with classification noise",Requires queries to distribution rather than individual samples,Medium,Essential Foundational
"Long & Servedio",2010,"Convex potential boosters under label noise",Symmetric,"Random classification noise",Convex boosters (AdaBoost/LogitBoost),Synthetic,Impossibility theorem,Yes,Yes,No,No,No,No,No,No,"Proved that all convex potential boosters fail under random classification noise for linearly separable data",Assumes convex potential loss function; does not address non-convex deep nets,High (Theoretical constraint),High
"Manwani & Sastry",2013,"Noise tolerance of polyhedral classifiers",Symmetric,"Uniform noise",0-1 loss surrogates,Synthetic/UCI,Surrogate 0-1 bounds,Yes,Yes,No,No,Yes,No,No,No,"Proved that symmetric losses (e.g. 0-1, ramp loss) are inherently noise tolerant under risk minimization",Optimization of non-convex symmetric losses is NP-hard in general,High,High
"Natarajan et al.",2013,"Learning with Noisy Labels",Class-conditional / Asymmetric,"Conditionally independent given true label Y",Surrogate risk minimizers (SVM/Logistic),UCI/Synthetic,Unbiased loss estimators (Backward correction),Yes,Yes,Yes,Yes,No,No,No,No,"Introduced backward unbiased loss correction ell_corr = T^-1 ell; established finite-sample excess risk bounds",Assumes exact knowledge of transition matrix T; backward loss can produce negative risk values,Very High,Critical Core
"Scott et al.",2013,"Classification with Asymmetric Label Noise",Asymmetric,"Mutual contamination model",Mixture proportion estimation,Synthetic/UCI,Rate-optimal estimation of label proportions,Yes,Yes,Yes,No,No,No,No,No,"Formulated label noise as mutual contamination; established minimax optimal rates for transition probabilities",Requires irreducible component distributions; high sample complexity in high dimensions,Medium,High
"van Rooyen et al.",2015,"Learning with Symmetric Label Noise: The Importance of Convexity",Symmetric,"Uniform label flipping",Linear classifiers,UCI/Synthetic,Unhinged loss,Yes,Yes,No,No,Yes,No,No,No,"Proved that the unhinged linear loss is the unique convex loss function that is strictly noise-tolerant under symmetric noise",Unhinged loss has no lower bound; sensitive to outliers and optimization instability,High,High
"Patrini et al.",2017,"Making Deep Neural Networks Robust to Label Noise: A Loss Correction Approach",Class-conditional,"P(Y_tilde | X, Y) = P(Y_tilde | Y); anchor points exist",Deep CNNs (ResNet/VGG),MNIST/CIFAR-10/CIFAR-100,Forward and Backward loss correction via anchor points,Yes,Yes,Yes,Yes,No,No,No,No,"Showed how to estimate T using network softmax predictions on confident anchor points; proved forward/backward risk convergence",Anchor point assumption often violated in real-world high-entropy classes,Very High,Critical Core
"Zhang et al.",2017,"Understanding deep learning requires rethinking generalization",Symmetric / Random,"Pure random label assignments",Inception/AlexNet/MLP,CIFAR-10/ImageNet,Empirical memorisation analysis,No,Yes,No,No,No,No,Yes,No,"Demonstrated that overparameterized deep networks have sufficient capacity to fit 100% random labels with zero training error",Did not propose a noise-mitigation method; purely empirical diagnosis,High,Critical Core
"Arpit et al.",2017,"A Closer Look at Memorization in Deep Networks",Symmetric / Random,"Random label noise",CNNs / MLPs,MNIST/CIFAR-10/SVHN,Early-learning dynamics analysis,No,Yes,No,No,No,No,Yes,No,"Discovered early-learning phenomenon: neural networks learn real, clean patterns first before memorizing noisy labels",Qualitative analysis without formal sample complexity bounds,High,Critical Core
"Guo et al.",2017,"On Calibration of Modern Neural Networks",Clean (Foundational calibration),"Standard supervised distribution",Modern CNNs (ResNet/DenseNet),CIFAR/ImageNet,Temperature Scaling / ECE,No,Yes,No,No,No,Yes,No,No,"Identified miscalibration in modern deep networks and popularized Expected Calibration Error (ECE) and Temperature Scaling",Focused strictly on clean training data without label corruptions,High (Calibration basis),Critical Core
